date,sales
2024-01-01,91.91641923462721
2024-01-02,111.42050183896922
2024-01-03,116.88604551427301
2024-01-04,102.52695021888343
2024-01-05,89.00878556130174
2024-01-06,87.62272643147129
2024-01-07,103.6276057346122
2024-01-08,109.90082197585839
2024-01-09,121.30132705417404
2024-01-10,121.30024437821108
2024-01-11,123.89265537487395
2024-01-12,96.76476690811981
2024-01-13,92.45814628673308
2024-01-14,98.93613058978566
2024-01-15,105.77202620968174
2024-01-16,133.8614035190093
2024-01-17,127.18640982650848
2024-01-18,122.8239814044509
2024-01-19,105.46344189062836
2024-01-20,96.66221173044225
2024-01-21,106.4144559056635
2024-01-22,114.94347919657096
2024-01-23,132.794472656359
2024-01-24,128.09055587080098
2024-01-25,115.50045176177994
2024-01-26,104.53566544115856
2024-01-27,86.94252334893528
2024-01-28,102.84225143243548
2024-01-29,119.3735621742466
2024-01-30,140.42395769330184
2024-01-31,146.1687046140771
2024-02-01,133.19280262952296
2024-02-02,113.83373051853573
2024-02-03,96.90958477076923
2024-02-04,100.52728527742326
2024-02-05,117.26987791612328
2024-02-06,132.25014344945282
2024-02-07,154.33888971576593
2024-02-08,134.82511775286224
2024-02-09,124.7507662962725
2024-02-10,108.02502859055258
2024-02-11,103.65447331717884
2024-02-12,133.06201777864555
2024-02-13,146.35106497304045
2024-02-14,149.17391307794807
2024-02-15,134.58889707154606
2024-02-16,125.49452503787708
2024-02-17,119.14222312880099
2024-02-18,109.84687911068728
2024-02-19,126.43703624070004
2024-02-20,152.02909930828247
2024-02-21,143.53357068732674
2024-02-22,146.17689201688637
2024-02-23,125.2826855666013
2024-02-24,104.64716761375456
2024-02-25,108.31967136747873
2024-02-26,123.5428539532816
2024-02-27,156.69822637734495
2024-02-28,150.9884612428276
2024-02-29,141.66696854334452
2024-03-01,121.31529893904913
2024-03-02,122.07780823652382
2024-03-03,116.37087813198595
2024-03-04,135.22600189733598
2024-03-05,150.15761296147298
2024-03-06,169.39898112987086
2024-03-07,151.76303155629435
2024-03-08,132.17353208246587
2024-03-09,116.98519006925912
2024-03-10,132.06430506672245
2024-03-11,138.97365969426644
2024-03-12,149.41314767769225
2024-03-13,152.45086350697483
2024-03-14,148.6938444404892
2024-03-15,127.9478678517222
2024-03-16,119.29780125327589
2024-03-17,126.57147918813405
2024-03-18,139.61852900028802
